study_hours_per_day,social_media_hours,netflix_hours,sleep_hours,exercise_frequency,exam_score
0,1.2,1.1,8,6,56.2
6.9,2.8,2.3,4.6,6,100
1.4,3.1,1.3,8,1,34.3
1,3.9,1,9.2,4,26.8
5,4.4,0.5,4.9,3,66.4
7.2,1.3,0,7.4,1,100
5.6,1.5,1.4,6.5,2,89.8
4.3,1,2,4.6,0,72.6
4.4,2.2,1.7,7.1,3,78.9
4.8,3.1,1.3,7.5,5,100
4.6,3.7,0.8,5.8,1,63.3
3.9,2.4,2.5,7.9,2,74.4
3.7,2.1,0.4,4.5,1,76.9
3.4,2.7,2.7,4.7,4,75.8
2.4,1.5,0.7,6.7,6,78.9
3.1,5,1,6.5,6,74
1,0.6,0.2,5.6,3,55.2
3.4,2.7,1.2,7.5,0,70.8
2,4.9,2.9,7.1,2,43.9
1.8,2.5,2.4,7.5,1,45.3
3.8,2.3,2.9,6.4,3,58.5
5.6,2.1,2.4,7.2,1,82.5
4.9,2.3,0.6,6,3,98.7
1.1,4.1,1.4,9,6,43.7
2,0,0.9,5.5,4,54.9
4.9,4.3,3.3,9,1,69.9
2,0.8,0.5,6.5,4,73.5
3.2,2.2,2.8,4.8,5,71.1
4.3,2,2.8,8.1,5,82.8
2,3.2,3.8,6.7,6,75.7
3.7,0.6,1.3,7.5,2,70.6
1.5,3.1,2.6,8,4,51.3
2.6,4.9,4.3,6.9,3,52.1
4,0.9,1.1,5.8,2,70.7
1.1,2.7,0.1,7.7,1,51.2
4.2,1.7,0,6.5,1,72.6
3.5,3,2.6,7.3,3,70.7
4.3,2.5,0,3.9,0,59.4
3.8,1.7,1.4,7,0,58.1
5.5,3.1,2.3,5.7,1,82.3
3.7,4.7,2,8.5,6,69.7
2.9,2.3,2.3,7.2,6,66
3.7,3.4,2,6.8,3,63.5
4.3,0.9,3.2,7.1,0,65.7
3.6,1.4,0.8,5.3,4,78.5
3.6,3.1,1.1,8.4,1,75.1
2.4,4.3,1,8.9,5,71
2.5,2.9,2.7,7,4,59.7
1.4,2.1,2.8,8.4,3,52.6
6.1,2.5,2.3,5.8,5,96.5
1.6,1,3.1,5.5,4,62
2.5,3.2,0.5,6.5,0,59.7
2.4,3.6,3.6,7,6,48.4
4.8,2,3.5,6,0,70.6
3.1,1.9,2.6,7.1,5,68.1
5.4,2.8,3.8,6.9,2,87.2
2.5,2,0,5.3,6,66.7
3.9,2.4,1.2,7.1,1,75.2
2.2,5,1,7.5,5,46.4
6.7,2.2,2.6,6.7,3,97.1
1.7,2.1,0.6,7.9,1,61.2
4,1.7,2.6,5,4,75
4.5,3.4,3.3,7.1,6,94.7
4.1,2.3,2.6,5.1,3,77.6
3.2,1.7,2.1,5.2,3,68.6
3.3,4.1,0.7,5.7,0,69.6
3.6,4.2,0.9,5.4,4,66.5
3.3,1.8,3.2,5.8,0,62.2
4.9,0.3,2.7,6.2,0,82.1
6.8,3.7,1.8,7.5,6,100
2.7,1.7,1.3,6.1,2,59.7
1.4,3.4,0,4.6,0,55.1
3.4,0.1,0.6,7.9,1,77.1
7.4,3.6,3.9,5.5,3,97.7
2.3,1,0.4,6.4,6,66.9
6,3.4,2,7,0,99.9
6,2.5,2.9,6.7,5,100
2.7,1.4,0.4,7.8,1,57.2
4.4,2,2,7.1,4,77.3
5.9,3.3,2.8,5.5,3,91.6
2.9,2.6,1.8,9.1,6,70.7
3.2,3.2,5,6.7,5,57.6
2.6,4.9,0,6.3,6,60.2
2,0.6,3,7.7,6,50.5
2.5,4.4,1.6,6.8,5,51.3
1.7,2.6,2.6,7,4,53.5
3.6,1.4,2.3,9.5,5,79.2
2.3,0.9,1,6.2,1,47.2
3.9,2.3,2.1,6.1,6,73.4
1.2,3.6,0,6.6,4,41.1
4,2.3,2.5,7.8,6,77.8
4.8,4.3,2.1,4.7,5,63.4
0.5,0.8,2.5,4.1,4,43.9
4.1,2.5,3,5.8,4,70.2
5.3,1,2.2,4.5,0,81.3
1.7,2.9,2,6,0,50.2
6,3.6,0.8,7.1,0,87.9
4.1,2,1,5.4,5,80.9
2.4,0,3.1,4.8,3,63.9
3.4,2.7,3.4,6.6,1,65.6
4.3,3,1.5,7.5,5,93.2
3.6,3,1.9,4.5,6,74
4.3,4,0.8,7.5,0,60.8
2.1,1.2,3.1,7.5,4,50.4
3.8,3.3,2.5,7.6,5,74.3
1.4,3.9,3.9,8,4,32.8
3.3,0.4,0.8,9.1,6,82.3
2.1,2.9,1.4,6.1,4,60.4
2.4,1.9,2.1,6.6,4,60
5.4,2.4,2.5,6,2,77.5
5.1,2.9,1.6,6.5,3,86.5
4.4,1.9,0.8,8.3,1,76.9
1.9,1.7,2.8,4.9,1,43.9
3,2.5,2.6,5.5,0,51.3
5.3,1.2,0.8,8.2,2,83.3
3.7,1.2,3.3,7.7,5,82.7
7,3.3,3.1,6.1,5,94.8
4.1,1.1,1.9,7.5,1,80.8
3.8,3.3,1.9,6.9,3,58.3
3,3.1,2.4,8.3,4,66.3
3.7,0.4,0.9,6.6,6,87.9
3.3,1.7,1.8,7.7,0,60.5
4.6,3.9,0,9.7,3,84.8
4.9,1.3,2.8,7.2,1,77
2.3,1.9,0.1,6.6,2,61.7
1.5,3.1,3.5,7.4,0,44
0.7,3.4,1.4,6.1,1,42.4
4.3,2.2,1.6,9.4,5,88
1.8,1.8,1.1,6.7,0,48.7
0.3,4.2,1.5,6.2,1,26.8
4.1,4.6,3.4,5.5,5,81.6
7.2,3.7,0,7.8,6,100
3.5,2.6,3.2,7.5,5,74
4.8,1.5,2.2,5.9,4,78.4
3.6,1.5,0.5,7.2,2,70.7
3.4,3.1,0.6,4.7,4,74.3
4.9,3,3.6,6.7,1,67.6
3.1,4.2,0.8,7,6,64.7
3.9,3.3,0.5,8.5,3,64.1
4,0.7,3.1,5.6,6,83.5
2.5,3.8,2.2,5,6,63.4
5,1.3,0.8,5.4,6,96.2
3.2,2,2,4.9,4,65.4
2.4,2.8,0.7,8.1,3,62
4.3,4.9,3,8.4,5,74
2.2,6.2,3,6.9,1,46.7
3.5,3.2,2.4,8,2,75.5
3.5,2.3,2.2,6.7,3,78.1
5.1,3.1,3.7,6.4,1,85.2
4.2,3.6,1.8,6.1,3,75.4
3.5,2.1,0.5,6.1,4,64.2
4.7,4.7,2.3,4.6,1,69.7
5.6,2.8,4.1,6.8,4,90.3
4.3,3.1,0.7,6.5,0,81.4
3.5,3.3,1.4,7.4,1,65
1.5,3,2.3,6.6,3,57.3
1.9,3.5,1.7,6.3,0,57.7
3,1.8,0.7,5.5,4,56.7
2.6,1.8,3,6.6,4,62.3
3.2,1.2,4.4,7.4,3,77.9
3.6,3,2,5.1,0,65.2
4.3,3.4,0.8,6.6,6,76.8
3.4,3,0.1,6.8,5,83.8
4.2,4.5,2.1,5.6,2,70.6
3.6,2.5,3,5.8,3,63.1
0.5,3.3,2.3,6.8,4,39
2.1,1.2,1.8,5.1,1,66.7
3.3,2,1.2,6.9,0,72.2
1.7,3.3,0.6,5.4,5,50.1
4.4,3.5,2.7,7.8,2,62.4
5.8,2.1,2.8,9.3,1,96.6
5.3,2.4,0.1,5.5,0,85.8
3.2,0.7,3.5,7.1,5,68.3
5.7,2.1,2.4,5.6,3,83.8
3.7,3.6,3.3,7.7,5,69.3
3,3.2,0.3,5,3,65.3
2.6,3.1,0.3,7.1,6,77.5
3,2.6,1.6,5.5,0,55
2.9,2.5,2.4,6.3,5,65.2
3.8,1.7,3.8,5.3,2,58.1
3.7,3.3,2.6,7.5,5,69.2
3.5,3,1.5,5.5,0,67.4
4.2,3.1,0.7,7.2,1,79.9
5.3,1.9,3.2,6.1,1,85.7
4.9,0,0.7,6.4,5,96.2
1.3,3.8,3.6,6.7,5,40.4
0,1.9,1.5,5.6,3,55.2
4.9,1.5,3.5,6.8,0,73.8
1.4,3.3,2.5,8.3,3,46.5
3.2,2,1.6,5.6,2,60.5
1.7,3.8,1.2,7.9,6,55.4
0.8,3.2,1.4,8.3,1,45.1
4.3,3.3,2.3,5.5,4,69.4
4.6,0.9,1.9,4.8,4,81.3
2.6,4,1.1,6.9,0,66.6
0,2.8,1.6,5.8,0,26.7
2.7,2.1,1.9,8.7,4,64.5
4.1,2.7,0,6.5,0,87.1
1.3,0.4,2.3,5.5,1,42.2
3.8,3,0.7,5.1,2,61.6
3.5,1.3,0.5,7.8,2,81.9
4.4,0.9,0,5.8,3,96.5
3.7,0.7,0,6.6,1,85.1
2,3.8,0.3,7.6,6,58.5
5.3,1.7,1,5.9,0,78.4
3.3,4.3,3.9,6.4,0,56.4
3.5,1.9,1.2,6.5,6,92.6
2.1,0.5,2,7.3,3,62.3
2.8,1.2,2.2,7.2,3,75.8
2.2,4,1.9,6.2,0,47.1
3.2,2.3,1.7,6.6,0,66.3
6.1,1.8,0.5,6.1,6,98.3
1.4,2.7,3.4,4.7,1,29.7
1.1,3.1,3.8,6.8,6,45.5
5.7,3.8,0,8.8,3,100
3.2,4.2,0.7,5.4,6,67.5
2.5,2.1,1.5,5.6,6,60.3
5.1,0.9,0.7,5.5,6,87
2.6,2,2.4,7.4,1,48.5
6.2,2.8,1,7,5,100
4.5,1.3,4.2,6.3,0,82.1
2.8,1.4,3.1,5.4,4,63.7
6.7,2.9,2,6.6,6,100
2.6,2.4,2.9,4.6,4,41.9
4.6,2.5,3,6.7,5,72.7
3.9,1.6,1.2,7.5,0,74.3
5.5,2.2,0.9,5,3,88.7
5.8,1.4,1.9,4.7,4,96.6
3.5,3.6,2.7,8.4,3,72.6
2.4,3.7,2,5.8,4,52.4
4.2,0.3,0.1,7.9,3,100
2.5,1.4,0.9,6.3,6,73.1
6.5,0.7,1.7,6.3,4,100
3.7,1.7,1.7,7,3,80.8
3,2.4,4,5.4,5,62.9
3.8,0.8,0.3,6.7,1,71.5
1.5,1.4,2.4,6,3,46.2
2,1.3,3.4,4.9,1,53.8
5.3,2.7,4.3,6.9,1,74.2
2.5,2.6,1.4,6.2,0,52.5
1.9,1.6,2.3,6.3,6,51.2
4.3,2.7,2.4,5,5,60.6
5.3,1.8,2,8.4,1,91.5
4.6,2.2,1.7,7.6,2,87.3
5,4.5,2.3,7.7,6,98
2.4,4.1,0,6.1,1,47.9
1.4,0.9,2.6,4.4,3,51
5.8,3.5,1.9,8.8,1,90
3,3.5,1.6,6.4,3,54.1
3.1,1.1,4.1,5.6,3,58.4
5.5,3.5,1.1,7,2,100
4.3,4.3,1.4,7.9,1,65.2
4.2,1.2,4,6.5,1,85.3
6.7,1.4,0.9,8,4,93.8
2.5,3.7,1.2,7.8,6,78.8
4.9,2.8,1.6,5.2,4,85
3.6,3.2,2.7,5.7,0,64.5
3.9,2.9,2,7.6,3,71
5.8,3,0.4,3.2,2,90.8
4.3,0.9,1.2,6.3,4,72.6
4.3,3.8,1.1,4.8,1,70.9
5.1,3.9,1.7,5.9,0,65.1
3,2.2,2.3,6.1,2,49.1
2.2,2.4,2.3,6.1,5,62.7
1.9,0.7,0,5.8,1,51.5
0.6,3.1,3,5.2,1,18.4
6.6,3.2,2.1,9.3,5,100
1.8,2.4,3.3,8.7,3,53.3
3.2,3.8,2.3,5.1,3,76.1
3.1,2.1,3,8.4,4,85.6
4,3.2,2.3,6,4,63
4.7,1.3,3.3,6.7,1,73.6
4.8,2.5,2.4,6.4,6,76.2
2.6,2.3,1.7,5.7,1,45.5
3.2,2.8,4.3,7.7,4,58.6
3.9,2.1,2.8,6.7,5,77.8
3.1,2.3,2.4,5.9,4,61.5
5.9,3.5,0.4,4.9,1,71.4
4.2,2,0.4,5.4,2,93.9
4.6,0.6,2.1,4.5,1,85.9
4.5,4.6,2,6.5,2,73.8
5.3,4.2,1.1,5.1,2,83.3
3.8,0.9,2,6.2,1,79.7
1.6,3.3,3.5,8.1,6,47.1
4.1,1.9,2.6,7.9,6,91.9
2.5,2.8,0.5,6.5,0,60.6
2.7,2.9,1.7,6.4,4,46.6
4.4,2.2,0.9,8.8,6,84.2
5.4,1.6,1.4,7.1,3,95.5
3.5,1.7,1.3,6.1,1,73.5
4,1.4,1.3,4.8,2,75.9
6.1,1.5,0.4,7,1,100
3.9,2.4,1.7,7.5,4,74.2
7.4,1.6,1.2,5.7,5,100
4.3,3.3,0,6.8,6,94.9
0.9,4.3,4.1,6.1,6,27.6
4.6,1.8,3,6.3,6,86.2
4.1,2.8,1.4,3.5,2,60.1
5.4,3.1,1.8,6.2,3,91.3
4.5,3.1,0.5,7.7,3,93.8
3.3,2.6,3.7,5.7,6,61.6
1.7,3.4,3.9,6.6,3,41.7
3.2,3.1,2,5.6,5,74.5
2.2,1,2.9,6.9,6,63.7
2.6,3.5,2,6.2,0,39.6
4.4,3.6,0.3,5.4,2,87.5
6,1.6,1.3,8.1,5,100
4.1,2.5,1.9,7.6,2,75.4
1.7,3.3,1.3,5.8,6,61.5
4.2,2.2,1.6,7.1,5,73.3
5.3,3.8,1.7,7.1,6,96.3
2.6,5.3,1.7,7.3,5,67
3.3,1.6,1.9,4.5,6,70.1
3.5,0.8,0.6,7.7,0,84.2
2.3,2.9,1,5.8,2,48.9
4.5,3.4,0.4,6.1,5,98.8
3.3,2.2,2.9,9.7,0,76.1
4.1,4.2,0,6.9,1,80.4
2.2,0.9,3.1,6,6,64.1
2.8,3.3,3.3,3.9,4,59.4
4.6,1.8,1.5,8.2,5,94.2
2.9,4.6,0,4.9,3,67.8
6.1,4.9,1.4,5.3,0,96.1
2.9,1.6,1.7,6.1,0,70.2
